연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2020,2,1,3426,친구엄마의 속옷은 순결한 하얀색,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,소개팅후 바로 속궁합,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,돈많은 유부녀와 여행계약-전편,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,돈많은 유부녀와 여행계약-후편,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,일본호텔 유부녀의 첫날,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,엄마친구는 야한 여우,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,2,1,3426,여동생과 여자친구들의 야한 키스,6000,0,1,1,1,일본,일본,(주)도키엔터테인먼트,2020-02-01T00:00:00Z
2020,3,6,3426,친구엄마 : 내 여자가 되던 날 2 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-03-06T00:00:00Z
2020,4,23,3426,유부녀들 : 남편 바꾸기 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-04-23T00:00:00Z
2020,1,3,3426,친구엄마 : 내 여자가 되던 날 2,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-01-03T00:00:00Z
2020,1,13,3426,개인교습: 사촌여동생,5000,0,1,1,1,한국,한국,(주)소나무픽쳐스,2020-01-13T00:00:00Z
2020,1,3,3426,나쁜 남자:내 아내를 몰래 먹다,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-01-03T00:00:00Z
2020,1,3,3426,정사:착한 며느리2,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-01-03T00:00:00Z
2020,1,23,3426,중년 알바: 젖어드는 불륜의 맛,1000,0,1,1,1,일본,일본,(주)씨맥스커뮤니케이션즈,2020-01-23T00:00:00Z
2020,5,26,3426,형수 : 금지된 사랑 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-05-26T00:00:00Z
2020,1,3,3426,잘 벗는 옆집여자,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-01-03T00:00:00Z
2020,1,3,3426,구멍사이 몰래보기,1000,0,1,1,1,일본,일본,주식회사 미콘,2020-01-03T00:00:00Z
2020,1,3,3426,섹슈얼 클리닉-오르가즘강좌,1000,0,1,1,1,일본,일본,주식회사 미콘,2020-01-03T00:00:00Z
2020,4,7,3426,예비 사위 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-04-07T00:00:00Z
2020,3,28,3426,직장 여선배와의 하룻밤,6000,0,1,1,1,일본,일본,(주)빅콘미디어,2020-03-28T00:00:00Z
2020,1,3,3426,착한 며느리:밤이 외로워,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-01-03T00:00:00Z
2020,1,9,3426,잠 못 이루는 섹스2 무삭제판,1000,0,1,1,1,한국,한국,(주)케이알씨지,2020-01-09T00:00:00Z
2020,1,3,3426,남편보단 낯선 남자,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-01-03T00:00:00Z
2020,1,3,3426,음란한 방문 서비스,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-01-03T00:00:00Z
2020,3,28,3426,가질 수 없는 첫사랑 가정교사,6000,0,1,1,1,일본,일본,(주)빅콘미디어,2020-03-28T00:00:00Z
2020,3,28,3426,위로가 필요한 윗집 여자,6000,0,1,1,1,일본,일본,(주)빅콘미디어,2020-03-28T00:00:00Z
2020,1,10,3426,이은미-가슴큰누나,5000,0,1,1,1,한국,한국,스마일컨텐츠,2020-01-10T00:00:00Z
2020,1,6,3426,데릴사위 : 젊은 장모를 탐하다,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-01-06T00:00:00Z
2020,3,31,3426,스와핑 : 잘못된 쾌락 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-03-31T00:00:00Z
2020,3,18,3426,사랑해요 장모님 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-03-18T00:00:00Z
2020,1,17,3426,스와핑 : 잘못된 쾌락,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-01-17T00:00:00Z
